epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4696.91,1.24203,1.11707,1.45995,0.67868,0.61483,0.6343,0.28889,1.8822,1.53384,1.99708,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4840.16,1.23807,1.11484,1.4558,0.72513,0.54747,0.59705,0.29901,1.78675,1.41893,1.9363,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4985.66,1.23189,1.0964,1.45712,0.6772,0.6754,0.67292,0.31821,1.81214,1.40558,1.95059,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5130.59,1.22339,1.08981,1.44992,0.66846,0.62645,0.62498,0.29721,1.8814,1.49129,2.04336,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5274.11,1.21207,1.07939,1.44255,0.71663,0.62461,0.64446,0.28419,1.85051,1.51113,2.00092,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5417.91,1.2166,1.07444,1.44591,0.7272,0.61483,0.68652,0.31353,1.8058,1.41054,1.93586,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5561.19,1.20236,1.06122,1.42999,0.65837,0.62842,0.62771,0.32211,1.78122,1.45525,1.94664,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5704.59,1.19805,1.05207,1.42998,0.67291,0.63021,0.65915,0.3015,1.87461,1.45482,2.02146,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5847.74,1.19214,1.03427,1.42333,0.74865,0.63533,0.66023,0.33051,1.80481,1.50714,1.9632,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5990.91,1.18826,1.02984,1.41846,0.72188,0.63172,0.66754,0.32072,1.88155,1.44073,1.96804,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6134.52,1.17114,1.01346,1.40949,0.68923,0.65145,0.66197,0.32908,1.86327,1.3541,2.00365,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
